COMPONENT,COMPONENT_cleaned
Nukleäres Ak-Muster.nukleolär,nukleaeres ak muster nukleolaer
Nukleäres Ak-Muster.nukleäre Punkte,nukleaeres ak muster nukleaere punkte
Vimentin Ak,vimentin ak
Aktin.filamentös Ak,aktin filamentoes ak
Mutiertes citrulliniertes Vimentin Ak,mutiertes citrulliniertes vimentin ak
Kernporenprotein gp210 Ak,kernporenprotein gp ak
Autoantikörper,autoantikoerper
Nukleäres Ak-Muster.Interzelluläre Brücken,nukleaeres ak muster interzellulaere bruecken
RNA-Polymerase I Ak,rna polymerase ak
Zytoplasmisches Antikörpermuster.PL-7+PL-12,zytoplasmisches antikoerpermuster pl pl
Erythrozyten.Erythrozytenschatten,erythrozyten erythrozytenschatten
Erythrozytenmorphologie,erythrozytenmorphologie
Nukleäres Ak-Muster.homogen,nukleaeres ak muster homogen
Nukleäres Ak-Muster.zentrosomal,nukleaeres ak muster zentrosomal
Nukleäres Ak-Muster.nukleäre Matrix,nukleaeres ak muster nukleaere matrix
Isovalerylglycin,isovalerylglycin
Nukleäres Ak-Muster.Kernmembranporen,nukleaeres ak muster kernmembranporen
Lysosom Ak,lysosom ak
Vinculin Ak,vinculin ak
Azurocidin Ak,azurocidin ak
Cathepsin G Ak,cathepsin ak
Elastase Ak,elastase ak
Panzytokeratin Ak,panzytokeratin ak
"Glucose^1,5 Stunden nach Dosis Insulin intravenös",glucose dosis insulin intravenoes
3-Methoxytyramin/Creatinin,methoxytyramin creatinin
Chlorid^nach Dialyse,chlorid dialyse
Gardnerella vaginalis DNA,gardnerella vaginalis dna
Mycobacterium tuberculosis Ak.IgG,mycobacterium tuberculosis ak igg
Ki Ak,ki ak
AB0 & Rh-Blutgruppensysteme,ab rh blutgruppensysteme
Aspartat-Aminotransferase.makromolekular/Aspartat-Aminotransferase.gesamt,aspartat aminotransferase makromolekular aspartat aminotransferase gesamt
Gewebetransglutaminase Ak,gewebetransglutaminase ak
Saccharomyces cerevisiae Ak,saccharomyces cerevisiae ak
Gerinnungsfaktor XI aktiviert Aktivität,gerinnungsfaktor xi aktiviert aktivitaet
Triglycerid/Cholesterol.in HDL,triglycerid cholesterol hdl
Prolin/Phenylalanin,prolin phenylalanin
Entlassanordnung,entlassanordnung
Zytoplasmatischer Ak,zytoplasmatischer ak
Fibrinspaltprodukte D-Dimer FEU & DDU (Liste),fibrinspaltprodukte dimer feu ddu liste
Nukleäres Ak-Muster.grob gesprenkelt,nukleaeres ak muster grob gesprenkelt
Lactoferrin Ak,lactoferrin ak
Lysozym Ak,lysozym ak
Somatotropin^2 Stunden nach Dosis Glucose,somatotropin dosis glucose
Corticotropin Ak.IgG4,corticotropin ak igg
Curry Ak.IgG4,curry ak igg
Apolipoprotein A-I/Cholesterol.in HDL,apolipoprotein cholesterol hdl
Casuarina equisetifolia Ak.IgG4,casuarina equisetifolia ak igg
Vaccinium myrtillus Ak.IgG4,vaccinium myrtillus ak igg
Katzenschuppen Ak.IgG4,katzenschuppen ak igg
Candida albicans Ak.IgA,candida albicans ak iga
Fagus grandifolia Ak.IgG4,fagus grandifolia ak igg
LDL.oxidiert,ldl oxidiert
Bertholletia excelsa Ak.IgG4,bertholletia excelsa ak igg
Phragmites communis Ak.IgG4,phragmites communis ak igg
Taraxacum vulgare Ak.IgG4,taraxacum vulgare ak igg
Blatella germanica Ak.IgG4,blatella germanica ak igg
Grüne Bohne Ak.IgG4,gruene bohne ak igg
Prosopis juliflora Ak.IgG4,prosopis juliflora ak igg
Anethum graveolens Ak.IgG4,anethum graveolens ak igg
(Blatella germanica+Dermatophagoides farinae+Dermatophagoides pteronyssinus+Hausstaub Hollister Stier) Ak.IgG4,blatella germanica dermatophagoides farinae dermatophagoides pteronyssinus hausstaub hollister stier ak igg
Pistacia vera Ak.IgG4,pistacia vera ak igg
Papaver somniferum Ak.IgG4,papaver somniferum ak igg
Hippoglossus hippoglossus Ak.IgG4,hippoglossus hippoglossus ak igg
Olea europaea-Pollen Ak.IgG4,olea europaea pollen ak igg
Chrysanthemum leucanthemum Ak.IgG4,chrysanthemum leucanthemum ak igg
Castanea sativa Ak.IgG4,castanea sativa ak igg
Distichlis spicata Ak.IgG4,distichlis spicata ak igg
Hämoglobin.gastrointestinal.unterer^2. Probenmaterial,haemoglobin gastrointestinal unterer probenmaterial
Dehydroepiandrosteron-Sulfat (DHEA-S)^3 Stunden nach XXX Stimulation,dehydroepiandrosteron sulfat dhea stimulation
Hydroxyprolin.frei/Creatinin,hydroxyprolin frei creatinin
Atropin Ak.IgE,atropin ak ige
Lactat^10 Minuten nach XXX Stimulation,lactat minuten stimulation
Pferdeschuppen Ak.IgG4,pferdeschuppen ak igg
Salvia officinalis Ak.IgG4,salvia officinalis ak igg
Xiphias gladius Ak.IgG4,xiphias gladius ak igg
Insulin Ak.IgG,insulin ak igg
11-Desoxycorticosteron^Basislinie,desoxycorticosteron basislinie
Plasmodium falciparum Ak.IgG,plasmodium falciparum ak igg
Insulin-ähnlicher Wachstumsfaktor I^15 Minuten nach XXX Stimulation,insulin aehnlicher wachstumsfaktor minuten stimulation
Vasopressin^1 Stunde nach XXX Stimulation,vasopressin stunde stimulation
Renin^1 Stunde nach XXX Stimulation,renin stunde stimulation
Toluol,toluol
11-Desoxycorticosteron^30 Minuten nach XXX Stimulation,desoxycorticosteron minuten stimulation
"Dehydroepiandrosteron (DHEA)^1,5 Stunden nach XXX Stimulation",dehydroepiandrosteron dhea stimulation
11-Desoxycorticosteron^4. Probenmaterial nach XXX Stimulation,desoxycorticosteron probenmaterial stimulation
"11-Desoxycorticosteron^1,5 Stunden nach XXX Stimulation",desoxycorticosteron stimulation
Bromid/Creatinin,bromid creatinin
Naproxen Ak.IgE,naproxen ak ige
Cladosporium cladosporioides Ak.IgE,cladosporium cladosporioides ak ige
HIV 1+2 Ak+HIV-1 p24 Ag,hiv ak hiv ag
Thyreoglobulin Ak.IgG,thyreoglobulin ak igg
Influenza-Virus A Ak.IgM^2. Probenmaterial,influenza virus ak igm probenmaterial
Automatisiertes Differentialblutbild ohne kleines Blutbild (Liste),automatisiertes differentialblutbild kleines blutbild liste
Manuelles Differentialblutbild (Liste),manuelles differentialblutbild liste
Gerinnungszeit Reptilase-induziert,gerinnungszeit reptilase induziert
Gerinnungzeit Oberflächen-induziert.Faktorsubstitution^sofort nach Zugabe von normalem Plasma,gerinnungzeit oberflaechen induziert faktorsubstitution sofort zugabe normalem plasma
Plasminogenaktivator gewebespezifisch,plasminogenaktivator gewebespezifisch
Insulin^2 Tage nach XXX Stimulation,insulin tage stimulation
Plasmininhibitor,plasmininhibitor
Plasminogenaktivator gewebespezifisch Ag,plasminogenaktivator gewebespezifisch ag
von Willebrand-Faktor.Ristocetin Cofaktor-Aktivität aktuell/normal,willebrand faktor ristocetin cofaktor aktivitaet aktuell
Varicella-Zoster-Virus Ak.IgM^1. Probenmaterial,varicella zoster virus ak igm probenmaterial
Corticotropin Ak.IgE,corticotropin ak ige
Rindfleisch Ak.IgE,rindfleisch ak ige
Matricaria chamomilla Ak.IgE,matricaria chamomilla ak ige
Patientenkurzakte,patientenkurzakte
Abgegebene Medikation.erweitert,abgegebene medikation erweitert
Helicobacter pylori,helicobacter pylori
Vasopressin^Basislinie,vasopressin basislinie
Thrombozyten.Riesen,thrombozyten riesen
Erythrozytenmorphologie (Liste),erythrozytenmorphologie liste
Plasmininhibitor Ag,plasmininhibitor ag
Plasminogen,plasminogen
Protein C-Inhibitor,protein inhibitor
Castanea sativa-Pollen Ak.IgE,castanea sativa pollen ak ige
Aldosteron^30 Minuten vor XXX Stimulation,aldosteron minuten stimulation
Noradrenalin^nach XXX Stimulation,noradrenalin stimulation
Hundeepithel Ak.IgE,hundeepithel ak ige
Ulmus americana Ak.IgE,ulmus americana ak ige
Clupea harengus Ak.IgE,clupea harengus ak ige
Apium graveolens Ak.IgE,apium graveolens ak ige
Corylus avellana-Pollen Ak.IgE,corylus avellana pollen ak ige
Juglans californica Ak.IgE,juglans californica ak ige
Fraxinus americana Ak.IgE,fraxinus americana ak ige
Aspergillus fumigatus DNA,aspergillus fumigatus dna
Leukozytenesterase,leukozytenesterase
"2-Ethyliden-1,5-Dimethyl-3,3-Diphenylpyrrolidin/Creatinin",ethyliden dimethyl diphenylpyrrolidin creatinin
Oxycodon/Creatinin,oxycodon creatinin
Bordetella sp,bordetella sp
Cryptococcus neoformans Ak,cryptococcus neoformans ak
F5-Gen.p.His1299Arg,gen his arg
Hämoglobinuntersuchung Neugeborenenscreening (Liste),haemoglobinuntersuchung neugeborenenscreening liste
Lactoferrin,lactoferrin
Plasmin-Plasmininhibitor-Komplex,plasmin plasmininhibitor komplex
Plasminogenaktivator-Inhibitor 1,plasminogenaktivator inhibitor
Thrombozytenfaktor 4,thrombozytenfaktor
Röteln-Virus,roeteln virus
Abgegebene Medikation.kurz,abgegebene medikation kurz
Chloramin T Ak.IgE,chloramin ak ige
Clostridioides difficile DNA,clostridioides difficile dna
Mimosa spp Ak.IgE,mimosa spp ak ige
Aedes communis Ak.IgE,aedes communis ak ige
Carya illinoinensis Baum Ak.IgE,carya illinoinensis baum ak ige
Enterobius vermicularis,enterobius vermicularis
Prunus avium Ak.IgE,prunus avium ak ige
Aspergillus niger Ak.IgE,aspergillus niger ak ige
Grüne Bohne Ak.IgE,gruene bohne ak ige
von Willebrand-Faktor.Aktivität aktuell/normal,willebrand faktor aktivitaet aktuell
Mycoplasma sp.genital,mycoplasma sp genital
Hippoglossus hippoglossus Ak.IgE,hippoglossus hippoglossus ak ige
Argatroban,argatroban
Humane RNase P RNA,humane rnase rna
"Differentialblutbild ohne kleines Blutbild, ohne Angabe der Methode (Liste)",differentialblutbild kleines blutbild angabe methode liste
Europäische-Frühsommer-Meningoenzephalitis-Virus Ak.IgG Index,europaeische fruehsommer meningoenzephalitis virus ak igg index
Atopobium vaginae DNA,atopobium vaginae dna
"Differentialblutbild, ohne Angabe der Methode (Liste)",differentialblutbild angabe methode liste
Europäische-Frühsommer-Meningoenzephalitis-Virus Ak.IgM-Index,europaeische fruehsommer meningoenzephalitis virus ak igm index
Trichomonas vaginalis DNA,trichomonas vaginalis dna
Epstein-Barr-Viruskapsid Ak.IgG-Avidität,epstein barr viruskapsid ak igg aviditaet
Creatinin.Pleuraflüssigkeit/Creatinin.Serum,creatinin pleurafluessigkeit creatinin serum
Ureaplasma parvum DNA,ureaplasma parvum dna
Ureaplasma urealyticum+Ureaplasma parvum DNA,ureaplasma urealyticum ureaplasma parvum dna
Basophile Tüpfelung,basophile tuepfelung
Weisse Bohne Ak.IgG,weisse bohne ak igg
Ampicillin Ak.IgM,ampicillin ak igm
Mycoplasma pneumoniae rRNA,mycoplasma pneumoniae rrna
Malus sylvestris-Baum Ak.IgE,malus sylvestris baum ak ige
Asparagus officinalis Ak.IgE,asparagus officinalis ak ige
Acetylsalicylat Ak.IgE,acetylsalicylat ak ige
Rote Bohne Ak.IgE,rote bohne ak ige
Acer negundo Ak.IgG,acer negundo ak igg
Thrombozyten.retikulierte/Thrombozyten,thrombozyten retikulierte thrombozyten
Heinz'sche Innenkörper,heinz sche innenkoerper
Thrombozyten.retikulierte,thrombozyten retikulierte
Anacardium occidentale Ak.IgG,anacardium occidentale ak igg
Raucherstatus,raucherstatus
Creatinin^vor Kontrastmittelgabe,creatinin kontrastmittelgabe
Gesamtei Ak.IgG,gesamtei ak igg
Infliximab Ak,infliximab ak
Gänsefeder Ak.IgG,gaensefeder ak igg
Clupea harengus Ak.IgG,clupea harengus ak igg
Adalimumab,adalimumab
Cynodon dactylon Ak.IgG,cynodon dactylon ak igg
Lolium perenne Ak.IgG,lolium perenne ak igg
Apixaban,apixaban
Lactalbumin alpha Ak.IgE,lactalbumin alpha ak ige
Lens esculenta Ak.IgG,lens esculenta ak igg
Festuca elatior Ak.IgG,festuca elatior ak igg
Dactylis glomerata Ak.IgG,dactylis glomerata ak igg
von Willebrand-Faktor.Aktivität,willebrand faktor aktivitaet
Humulus lupus Ak.IgG,humulus lupus ak igg
Fondaparinux,fondaparinux
Hausstaub Hollister-Stier Ak.IgG,hausstaub hollister stier ak igg
Kochia scoparia Ak.IgA,kochia scoparia ak iga
Symptom,symptom
Testosteron.frei + schwach gebunden/Testosteron.gesamt,testosteron frei schwach gebunden testosteron gesamt
Plazentarer Wachstumsfaktor,plazentarer wachstumsfaktor
Gerinnungszeit verdünntes Russell's Viper Venom-induziert (dRVVT) mit 1:1 gepooltem Normalplasma,gerinnungszeit verduenntes russell viper venom induziert drvvt gepooltem normalplasma
Erythrozyten.hypochrom/Erythrozyten,erythrozyten hypochrom erythrozyten
Ligustrum vulgare Ak.IgG,ligustrum vulgare ak igg
Gerinnungzeit Oberflächen-induziert.Lupus-sensitiv/Gerinnungzeit Oberflächen-induziert.Lupus-sensitiv.Phospholipidüberschuss,gerinnungzeit oberflaechen induziert lupus sensitiv gerinnungzeit oberflaechen induziert lupus sensitiv phospholipidueberschuss
Ambrosia elatior Ak.IgG,ambrosia elatior ak igg
Respiratorische Pathogene DNA & RNA 14 (Liste),respiratorische pathogene dna rna liste
Geschlecht zugewiesen^bei Geburt,geschlecht zugewiesen geburt
Schistosoma sp Ak.IgE,schistosoma sp ak ige
Tryptase Ak.IgE,tryptase ak ige
Prunus domestica-Pollen Ak.IgE,prunus domestica pollen ak ige
Creatinin.Peritonealflüssigkeit/Creatinin.Serum,creatinin peritonealfluessigkeit creatinin serum
Vaccinium myrtillus Ak.IgE,vaccinium myrtillus ak ige
Normoblasten,normoblasten
Brassica oleracea var gemmifera Ak.IgE,brassica oleracea var gemmifera ak ige
Brassica oleracea var capitata Ak.IgE,brassica oleracea var capitata ak ige
Hundeepithel Ak.IgG,hundeepithel ak igg
Gesamtei Ak.IgE,gesamtei ak ige
Solidago virgaurea Ak.IgG,solidago virgaurea ak igg
Schweineepithel Ak.IgG,schweineepithel ak igg
Dakryozyten,dakryozyten
Rouleaux,rouleaux
Scomber scombrus Ak.IgE,scomber scombrus ak ige
Mangifera indica-Pollen Ak.IgE,mangifera indica pollen ak ige
Bovines Insulin Ak,bovines insulin ak
Rivaroxaban,rivaroxaban
Panicum milliaceum Ak.IgG,panicum milliaceum ak igg
Morus alba Ak.IgG,morus alba ak igg
Ovalozyten,ovalozyten
Pappenheimer-Körper,pappenheimer koerper
Quercus alba Ak.IgG,quercus alba ak igg
Lupus-Antikoagulans - Zwei Screening-Tests mit Reflexmessung,lupus antikoagulans zwei screening tests reflexmessung
Lactatdehydrogenase.Körperflüssigkeit/Lactatdehydrogenase.Serum,lactatdehydrogenase koerperfluessigkeit lactatdehydrogenase serum
Pyrus communis-Pollen Ak.IgE,pyrus communis pollen ak ige
Juglans spp Ak.IgG,juglans spp ak igg
Artemisia absinthium Ak.IgG,artemisia absinthium ak igg
Akanthozyten,akanthozyten
Howell-Jolly-Körperchen,howell jolly koerperchen
Interleukin-2-Rezeptor.löslich,interleukin rezeptor loeslich
Zink-Transporter 8 Ak,zink transporter ak
Kali-Salzkraut Ak.IgG,kali salzkraut ak igg
Epstein-Barr-Virus nukleärer Ak.IgM,epstein barr virus nukleaerer ak igm
Döhle-Körper,doehle koerper
Rickettsia sp Ak,rickettsia sp ak
Sichelzellen,sichelzellen
Provasopressin.C-terminal,provasopressin terminal
Rhinovirus RNA,rhinovirus rna
HIV-1 RNA Reverse-Transkriptase- & Protease-Gen,hiv rna reverse transkriptase protease gen
Glucose-Toleranz über 2 Stunden in der Schwangerschaft (Liste),glucose toleranz ueber schwangerschaft liste
Rhinovirus + Enterovirus RNA,rhinovirus enterovirus rna
Humanes Coronavirus OC43 RNA,humanes coronavirus oc rna
Clostridioides difficile Glutamatdehydrogenase,clostridioides difficile glutamatdehydrogenase
Hämoglobin-Zielwert,haemoglobin zielwert
Vitalparameter,vitalparameter
Thrombozyten-Glycoprotein IV Ak,thrombozyten glycoprotein iv ak
Babesia sp DNA,babesia sp dna
AB0-Blutgruppensystem,ab blutgruppensystem
Bestätigter Kontakt bzw. bekannte Exposition,bestaetigter kontakt bzw bekannte exposition
Amoeba,amoeba
Humanes Coronavirus HKU1 RNA,humanes coronavirus hku rna
Humanes Coronavirus NL63 RNA,humanes coronavirus nl rna
Herzfrequenz,herzfrequenz
Bewertung des Erkrankungsstadium für Risikokalkulation (Score),bewertung erkrankungsstadium risikokalkulation score
Adalimumab Ak,adalimumab ak
Schistozyten,schistozyten
Choriongonadotropin (Schwangerschaftstest),choriongonadotropin schwangerschaftstest
HIV-1 RNA Reverse Transcriptase & Protease & Integrase-Gene Mutationen entdeckt,hiv rna reverse transcriptase protease integrase gene mutationen entdeckt
von Willebrand-Faktor.Ristocetin Cofaktor-Aktivität/von Willebrand-Faktor-Antigen,willebrand faktor ristocetin cofaktor aktivitaet willebrand faktor antigen
Amorphes Sediment,amorphes sediment
Formel zur Berechnung der Körperoberfläche,formel berechnung koerperoberflaeche
Schwangerschaftsstatus,schwangerschaftsstatus
Umfang.okzipital-frontal,umfang okzipital frontal
Körpergewicht^bei Geburt,koerpergewicht geburt
Clostridioides difficile Ak,clostridioides difficile ak
Levodopa,levodopa
F5-Gen Komplette Mutationsanalyse,gen komplette mutationsanalyse
F2-Gen.c.20210G>A & F5-Gen.c.1691G>A (Liste),gen gen liste
SARS-Coronavirus 2 Ak.IgG,sars coronavirus ak igg
SARS-Coronavirus 2 Ak.IgA,sars coronavirus ak iga
Candida sp Ak.IgM,candida sp ak igm
SARS-Coronavirus 2 Ak.IgA+IgM,sars coronavirus ak iga igm
Diclofenac,diclofenac
Datum letzte Monatsblutung,datum letzte monatsblutung
Beobachtungszeitraum,beobachtungszeitraum
Humanes Bocavirus DNA,humanes bocavirus dna
Körpergröße^bei Geburt,koerpergroesse geburt
Humanes Coronavirus HKU1+OC43 RNA,humanes coronavirus hku oc rna
Atemfrequenz spezielle Umstände,atemfrequenz spezielle umstaende
SARS-Coronavirus 2 Ak.IgG+IgM,sars coronavirus ak igg igm
P2-Phänotyp,phaenotyp
Edoxaban,edoxaban
Ferritin-Zielwert,ferritin zielwert
Reiseanamnese,reiseanamnese
Atemfrequenz,atemfrequenz
SARS-Coronavirus 2 Ag,sars coronavirus ag
Hexanoylglycin,hexanoylglycin
SARS-Coronavirus 2 Gesamtgenom,sars coronavirus gesamtgenom
Influenza-Virus A & Influenza-Virus B & SARS Coronavirus 2,influenza virus influenza virus sars coronavirus
SARS-Coronavirus+SARS-Coronavirus 2 Ag,sars coronavirus sars coronavirus ag
Influenza-Virus A & Influenza-Virus B & SARS Coronavirus 2 & SARS-bezogenes Coronavirus RNA (Liste),influenza virus influenza virus sars coronavirus sars bezogenes coronavirus rna liste
Influenza-Virus A & Influenza-Virus B & SARS Coronavirus 2 & Respiratorisches Synzytial-Virus RNA (Liste),influenza virus influenza virus sars coronavirus respiratorisches synzytial virus rna liste
SARS-Coronavirus-2-stimuliertes Gamma-Interferon (Liste),sars coronavirus stimuliertes gamma interferon liste
SARS-Coronavirus 2-spezifische TCRB Gen-Rearrangements,sars coronavirus spezifische tcrb gen rearrangements
SARS-Coronavirus-2-stimulierte Gamma-Interferon-Freisetzung durch T-Zellen^^Korrektur des Hintergrundsignals,sars coronavirus stimulierte gamma interferon freisetzung zellen korrektur hintergrundsignals
SARS-Coronavirus-2-stimulierte Gamma-Interferon-Freisetzung durch T-Zellen,sars coronavirus stimulierte gamma interferon freisetzung zellen
Phytomenadion,phytomenadion
Influenza-Virus A & Influenza-Virus B & SARS Coronavirus+SARS Coronavirus 2 Antigene (Liste),influenza virus influenza virus sars coronavirus sars coronavirus antigene liste
Creatinkinase.MM/Creatinkinase.gesamt,creatinkinase mm creatinkinase gesamt
SARS-Coronavirus 2 Nsp2-Gen,sars coronavirus nsp gen
Shigella sonnei Ak,shigella sonnei ak
Plasmodium malariae Ak.IgM,plasmodium malariae ak igm
Allopurinol,allopurinol
Cortisol^Nachmittag-Talspiegel-Probenmaterial,cortisol nachmittag talspiegel probenmaterial
Actinomyces sp,actinomyces sp
Adenovirus sp,adenovirus sp
Cortisol^Vormittag-Spitzenspiegel-Probenmaterial,cortisol vormittag spitzenspiegel probenmaterial
Ehrlichia chaffeensis DNA,ehrlichia chaffeensis dna
Itraconazol^TDM Tal,itraconazol tdm tal
Gerinnungsfaktor X-Aktivität,gerinnungsfaktor aktivitaet
Tubuluszellen,tubuluszellen
Interferon.gamma,interferon gamma
Insulin^30 Minuten vor XXX Stimulation,insulin minuten stimulation
Borrelia burgdorferi Ak-Bandenmuster,borrelia burgdorferi ak bandenmuster
Muzin-ähnliches Karzinom-assoziiertes Ag,muzin aehnliches karzinom assoziiertes ag
Bovines Serumalbumin Ak.IgE,bovines serumalbumin ak ige
Blomia tropicalis Ak.IgE,blomia tropicalis ak ige
Origanum majorana Ak.IgE,origanum majorana ak ige
Lepidorhombus whiffiagonis Ak.IgE,lepidorhombus whiffiagonis ak ige
Cyclospora cayetanensis,cyclospora cayetanensis
Cortisol^vor Dosis Insulin intravenös,cortisol dosis insulin intravenoes
